method,rmse_mean,rmse_std,non_anchor_rmse_mean,non_anchor_rmse_std,mae_mean,mae_std,p90_ae_mean,p90_ae_std,los_rmse_mean,los_rmse_std,nlos_rmse_mean,nlos_rmse_std,high_wall_rmse_mean,high_wall_rmse_std,free_space_rmse_mean,free_space_rmse_std,wall_region_rmse_mean,wall_region_rmse_std
wallpath_extra,4.81854362687406,0.005828333445794836,4.83937046317408,0.0060082432033871395,3.253759080833859,0.005512685354431125,7.978105586369832,0.006839437240051169,2.8237796316041432,0.07621239886242658,4.955199565154566,0.00565110844505332,5.145581756579419,0.006582776379969932,4.666316566913655,0.004510241217641872,6.9216034958337005,0.021902592764738944
direct_rf_all_features,4.926945471989318,0.003188730494450153,4.946017230861865,0.003384774090527898,3.4273973936504785,0.005874679503083047,8.272061554378935,0.00880310256586138,2.268161125029842,0.04682144165787867,5.077014471555188,0.003865668347962745,5.280149153436695,0.00460693592750008,4.801651648422862,0.004832090222050921,6.7510706378763965,0.015067454970334678
wallpath_calibrated,5.133976865215724,0.04014570847319437,5.155069465748057,0.040234114368184574,3.676500073962741,0.03606109799640916,8.487120779779223,0.07461266310435315,2.2104233565109,0.049770122083304814,5.291819846191921,0.042487354010691564,5.502621141064188,0.044452774884709244,5.016373936440213,0.0441850860035209,6.851689942673464,0.023069062808728023
wallpath_rf,5.240274382097491,0.03567289995943649,5.259471184913188,0.03567946170550697,3.460285461531745,0.025664194993069437,8.593509670893352,0.1010752521876837,3.0286331771527037,0.08943523519541993,5.387379801917496,0.03509062059356574,5.609581959176495,0.03746724858707528,5.081385369547168,0.036067041178803515,7.408692092615344,0.036882107955418394
direct_extra_all_features,5.519287731259264,0.04257826973550125,5.535667449609324,0.04223195116554543,4.024926814317703,0.04404513583024622,9.249071926116944,0.07233628556445167,2.377740078677529,0.016859277629424886,5.669094462259186,0.04296395727731592,5.910053264278187,0.043478400290100555,5.423635175834825,0.044794295178240344,6.997958015569957,0.025975120550185752
multi_wall_residual_idw,5.627272420473937,0.011765152505254738,5.655655562510224,0.011824460430124143,3.9270056702825755,0.005562773015615248,8.855910984357198,0.02311296402688122,4.998046476995108,0.11925815248975674,5.7153205016230615,0.01572591548553248,5.906351023279452,0.016548251752388717,5.446132745242298,0.010997556686163416,7.928351918188016,0.04041774424472355
idw,6.161380286103906,0.0037168048000541347,6.192456844685698,0.003735529060766234,4.581012233840094,0.00420796014249693,10.154854241053263,0.006131637834673227,10.670159331276245,0.10756226985278368,5.883180065923196,0.007846258966012142,5.909331371559496,0.008555959218861809,6.087603925010998,0.0038387513114211983,7.391680838427191,0.009783671343883983
direct_rf_sparse_anchor,8.610310447551603,0.08907573339640962,8.610977653522552,0.08904846402063517,6.568300967322455,0.03616386534077853,14.391775633282132,0.14891619447078783,2.7640797956984913,0.10595618734554718,8.890909899646163,0.090670666033086,9.278888635496108,0.10082229768441583,8.515175557235183,0.08877643191712054,9.996576819695045,0.10561403128389939
multi_wall,9.338318805364432,0.006698824730034036,9.340609286390235,0.006548343027532536,7.354649123191834,0.00723198784695931,14.888285392549301,0.0086823780785327,9.169467892427285,0.06127265651723481,9.381085172163791,0.00124113983378122,9.606383845391262,0.001938397006718339,9.221390101193876,0.00560809843734104,10.949456774640096,0.021730811033653135
log_distance,10.865385433615984,0.0021057828255818174,10.86628512838355,0.0021229115598487857,8.819427943441603,0.004136746088161149,17.595527470058865,0.01254096026084065,13.492473482148347,0.0789753373391991,10.597677276190854,0.0054921404395947525,10.591930973749548,0.007656556308079091,10.84609457815561,0.002289581381247249,11.220118702017587,0.006041293755931962
direct_rf_geometry,14.2837144725128,0.07967546294948376,14.283518693409723,0.08000293553143983,11.674047036329904,0.08864531222732412,23.32798019133674,0.13367560663008407,4.499584344125817,0.1298863841496293,14.714550749305838,0.07905766986941165,15.41641292465909,0.08585880550346664,14.243888408482396,0.07984213424200552,14.826197962126683,0.07420836592919706
