method,sparse_rate,rmse_mean,rmse_std,mae_mean,mae_std,median_ae_mean,median_ae_std,p90_ae_mean,p90_ae_std,los_rmse_mean,los_rmse_std,nlos_rmse_mean,nlos_rmse_std,high_wall_rmse_mean,high_wall_rmse_std,unclipped_rmse_mean,unclipped_rmse_std,non_anchor_rmse_mean,non_anchor_rmse_std,non_anchor_mae_mean,non_anchor_mae_std,non_anchor_p90_ae_mean,non_anchor_p90_ae_std,non_anchor_los_rmse_mean,non_anchor_los_rmse_std,non_anchor_nlos_rmse_mean,non_anchor_nlos_rmse_std,free_space_rmse_mean,free_space_rmse_std,wall_region_rmse_mean,wall_region_rmse_std
wallpath_extra,0.01,5.319527300434668,0.018495080070249817,3.7353929663957417,0.01877021723354674,2.5286172303208363,0.021979038239985572,8.804805737343637,0.028640563704939257,4.267835690126795,0.032442894544325196,5.416795872557124,0.018376112112295992,5.599664332561322,0.0188357027422396,5.0624403979787616,0.005741531189410277,5.340235698565372,0.01851086859777088,3.758976288138925,0.018843930881658946,8.836054908277037,0.0286200050120454,4.284944708475396,0.03236372189259587,5.43790582341311,0.01843205826521539,5.190796191773113,0.019571328260111643,7.187146590320681,0.004370271810493769
multi_wall_residual_idw,0.01,5.856084536283267,0.00301507750775664,4.157722823011266,0.0009390528982405827,3.012406136223504,0.00108442003556786,9.286340105698272,0.0026685725477364323,5.925620114936064,0.019282034299175656,5.899949874702291,0.0033277921172463042,6.038530222305925,0.004586212614182648,5.863117165401157,0.0017084526838345496,5.885621317549332,0.0030302833886603794,4.199769568815603,0.0009485478922850324,9.323796618435834,0.0027524483123782025,5.954668840758274,0.019270219224028485,5.9297045986848795,0.0033441025641548056,5.690876936867674,0.0028930280685264863,8.01085683624939,0.011360064543943404
direct_rf_all_features,0.01,5.871376060378111,0.01858297391575155,4.31425079904161,0.017442992851429993,3.139689450421491,0.030177834764979684,9.803031943553204,0.02963109919276548,5.005330981837093,0.07011657807140888,5.941221524981042,0.01664231229979035,6.113184518233627,0.015970846978256948,5.428230526177501,0.03233177541363496,5.889766651233081,0.018988795902876224,4.333667602163177,0.01759003481300456,9.830044816206168,0.029752588398065195,5.019585564408008,0.07090945721976338,5.960103213037411,0.017044802532266656,5.78436168641128,0.01883055390045574,7.235339770543156,0.024134929039319308
wallpath_calibrated,0.01,6.276470450031723,0.07942630059807361,4.80375166903029,0.07142691835743077,3.7934820639693343,0.07086411656601539,10.23770563463549,0.12165421883898757,5.846754940877077,0.306927983843851,6.260537369214428,0.08276306353346156,6.366058680060063,0.0904038867204631,6.075979985031272,0.0738262672869125,6.298241227497285,0.07948342277759084,4.826565080784462,0.07108877826631277,10.26879089700567,0.12237896910905602,5.868760556922504,0.30710793203123077,6.2823753763336425,0.08269812850720105,6.2087297108908,0.08216507963969436,7.298476014923033,0.0553314034430756
idw,0.01,6.295834698827368,0.002527571106069475,4.669850586355627,0.0017009782681300205,3.5461657017200916,0.0019565400292553005,10.319718935654329,0.0040069314742802445,11.099846227194398,0.01445081721846949,5.975273268173822,0.003934417882278222,5.964516100678318,0.005267090753139301,6.266673361436404,0.002422465244214769,6.327589116520673,0.0025403198036542682,4.717076125345431,0.0017181967755069364,10.357997326550183,0.003969878525203798,11.153224025575241,0.01439767850139979,6.005410436177965,0.003952264373162931,6.227996292367881,0.0024874172629096598,7.438086113447468,0.005284988279314736
wallpath_rf,0.01,6.300267070223967,0.0836016057275683,4.261460694271523,0.060913363288286344,2.6898665088504643,0.03158021091846246,10.34514752525467,0.30793684166715435,4.357652971096469,0.041322573180599974,6.434416870071417,0.08665329724689214,6.690187146360042,0.09199580368052244,5.761284987335496,0.07850175892734834,6.317996640204416,0.08321856497220959,4.282980613550983,0.06062922865067843,10.372475096356046,0.3061943016606031,4.375780757831869,0.04150475499504349,6.452412391485268,0.08626135601907098,6.167428278839334,0.08616589256482975,8.209799288495894,0.05335366673996743
direct_extra_all_features,0.01,7.766873655307646,0.0974006521852626,6.197032780557781,0.11090691267644812,5.144151369043299,0.12506472887152723,12.562371578689095,0.13728796844614854,8.618509058463102,0.2365660588090981,7.577861770673458,0.10350054818458657,7.7526976009406035,0.09584287852353497,7.240343322190031,0.09938682849825184,7.780186616367293,0.09701962864301118,6.208364002908673,0.11048239023647036,12.584246220574364,0.1363987067566681,8.619163604705893,0.23602917107441257,7.592861856101347,0.1031115873442289,7.740384726771375,0.09853252729894539,8.209738914268726,0.08176238245562721
multi_wall,0.01,10.152365684978307,0.0011542584191069666,8.097078280305718,0.00041190904932064985,6.958398826301277,0.0013483605866682516,16.254679700633787,0.0036028360542786696,10.874611733220986,0.012973293463563811,10.119413322177985,0.0019628286505778718,10.21257060245081,0.003306046661542636,10.116488347096011,0.0011929457498403345,10.154442357271552,0.0011998323962554044,8.098257222719736,0.00036072740560768327,16.256758850258034,0.003695683335347908,10.87708944072231,0.013089310542884727,10.121428295934704,0.0020249063336365562,10.054727080916843,0.0006915304578883972,11.526549318659379,0.01060188772776527
log_distance,0.01,11.500331707667135,0.0006084331629248488,9.366776818212445,0.0011147006925868793,8.269598993009275,0.0027787667930708796,18.594711111887793,0.003374668762964805,14.288340743233093,0.01860434735433154,11.210334603922524,0.0011465304828329342,11.104371725498092,0.0022739770436745596,11.449352071595015,0.002161051395983733,11.50118153929317,0.0006156211529164746,9.367372322998962,0.0010818528135376226,18.595775163896807,0.003543410398010205,14.291094445428314,0.018754617944601613,11.210946426472887,0.0011459662968702894,11.4836569523008,0.0005305740846813438,11.802670654318133,0.0035887338153919235
direct_rf_sparse_anchor,0.01,12.264074629323268,0.029415159264278398,10.056487726649722,0.021307562890363098,9.020450174028094,0.07425139748016606,19.68109671853326,0.10469911402752126,11.982472534358292,0.08799704011769163,12.201448360087973,0.03577939139351533,12.056309871586157,0.04011138086766603,12.060768748433757,0.0948437102671172,12.264752490355335,0.02932369096645179,10.057088389239153,0.021246691946021346,19.682147772190447,0.10462900982485919,11.982949504104413,0.0879347987948941,12.202135423803055,0.0356841564688508,12.273284131725875,0.029183629840244026,11.901665553502701,0.07707237944919663
